"id","name","type","resource_version","release_tag","asset","url","md5","size","license","source_url","description","citation"
"annotation-schaefer2018-800parcels-17networks-order","Schaefer2018_800Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-800parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-800parcels-17networks-order.tar.gz","6ac2d2f9b085f8e71d86c8b4a8bcac4d",674041,"unknown",NA,"Schaefer2018_800Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-800parcels-7networks-order","Schaefer2018_800Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-800parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-800parcels-7networks-order.tar.gz","149e5830a7cca26dca8ca71539ca0060",673966,"unknown",NA,"Schaefer2018_800Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-800parcels-kong2022-17networks-order","Schaefer2018_800Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-800parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-800parcels-kong2022-17networks-order.tar.gz","bcb7d0d73202af8e4957fcc4fecd72e2",680489,"unknown",NA,"Schaefer2018_800Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-900parcels-17networks-order","Schaefer2018_900Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-900parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-900parcels-17networks-order.tar.gz","2ac8831cc97517d39cf6986d7763a343",680471,"unknown",NA,"Schaefer2018_900Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-900parcels-7networks-order","Schaefer2018_900Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-900parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-900parcels-7networks-order.tar.gz","0492ebf1d01edebda725c2402e6078c6",679950,"unknown",NA,"Schaefer2018_900Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-900parcels-kong2022-17networks-order","Schaefer2018_900Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-900parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-900parcels-kong2022-17networks-order.tar.gz","bfa541c7d4760584266846b01ce3044c",686577,"unknown",NA,"Schaefer2018_900Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-yeo2011-17networks-n1000","Yeo2011_17Networks_N1000","annotation","dev","prerelease","annotation-yeo2011-17networks-n1000.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-yeo2011-17networks-n1000.tar.gz","f417c668fb62023adaef93c7dc3dce8b",801483,"unknown",NA,"Yeo2011_17Networks_N1000 annotation pair for fsaverage","Yeo BTT, Krienen FM, Sepulcre J, et al. (2011). The organization of the human cerebral cortex estimated by intrinsic functional connectivity. Journal of Neurophysiology 106:1125-1165. doi:10.1152/jn.00338.2011."
"annotation-yeo2011-7networks-n1000","Yeo2011_7Networks_N1000","annotation","dev","prerelease","annotation-yeo2011-7networks-n1000.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-yeo2011-7networks-n1000.tar.gz","ea479bcac45a345218b629cdc184a07e",882549,"unknown",NA,"Yeo2011_7Networks_N1000 annotation pair for fsaverage","Yeo BTT, Krienen FM, Sepulcre J, et al. (2011). The organization of the human cerebral cortex estimated by intrinsic functional connectivity. Journal of Neurophysiology 106:1125-1165. doi:10.1152/jn.00338.2011."
"atlas-aicha-subcortex","AICHA_subcortex","atlas","dev","prerelease","atlas-aicha-subcortex.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/atlas-aicha-subcortex.tar.gz","ac850ff102241f1f8e5f47a4da7407d3",550646,"unknown",NA,"Premade AICHA_subcortex ggbrat atlas","Joliot M, Jobard G, Naveau M, et al. (2015). AICHA: An atlas of intrinsic connectivity of homotopic areas. Journal of Neuroscience Methods 254:46-59. doi:10.1016/j.jneumeth.2015.07.013."
"atlas-aparc","aparc","atlas","dev","prerelease","atlas-aparc.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/atlas-aparc.tar.gz","b8d99c036965d26a3fefd9ccfe980c22",2034582,"unknown",NA,"Premade aparc ggbrat atlas","Desikan RS, Segonne F, Fischl B, et al. (2006). An automated labeling system for subdividing the human cerebral cortex on MRI scans into gyral based regions of interest. NeuroImage 31:968-980. doi:10.1016/j.neuroimage.2006.01.021."
"atlas-aparc-a2005s","aparc.a2005s","atlas","dev","prerelease","atlas-aparc-a2005s.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/atlas-aparc-a2005s.tar.gz","931f21419caaa6ac6fe1b4b5472c92ca",2172962,"unknown",NA,"Premade aparc.a2005s ggbrat atlas","Fischl B, van der Kouwe A, Destrieux C, et al. (2004). Automatically parcellating the human cerebral cortex. Cerebral Cortex 14:11-22. doi:10.1093/cercor/bhg087."
"atlas-aparc-a2009s","aparc.a2009s","atlas","dev","prerelease","atlas-aparc-a2009s.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/atlas-aparc-a2009s.tar.gz","8bae1eb6c09ff237426955eb40d8866a",2163051,"unknown",NA,"Premade aparc.a2009s ggbrat atlas","Destrieux C, Fischl B, Dale A, Halgren E (2010). Automatic parcellation of human cortical gyri and sulci using standard anatomical nomenclature. NeuroImage 53:1-15. doi:10.1016/j.neuroimage.2010.06.010."
"atlas-aseg-subcortex","aseg_subcortex","atlas","dev","prerelease","atlas-aseg-subcortex.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/atlas-aseg-subcortex.tar.gz","c208eba86f165f3acbeedc3ad62904d0",556495,"unknown",NA,"Premade aseg_subcortex ggbrat atlas","Fischl B, Salat DH, Busa E, et al. (2002). Whole brain segmentation: automated labeling of neuroanatomical structures in the human brain. Neuron 33:341-355. doi:10.1016/S0896-6273(02)00569-X."
